year;title;studios;producers;winner
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;
1980;The Formula;MGM, United Artists;Steve Shagan;
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;
1980;The Nude Bomb;Universal Studios;Jennings Lang;
1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;
1980;Raise the Titanic;Associated Film Distribution;William Frye;
1980;Saturn 3;Associated Film Distribution;Stanley Donen;
1980;Windows;United Artists;Mike Lobell;
1980;Xanadu;Universal Studios;Lawrence Gordon;
1981;Mommie Dearest;Paramount Pictures;Frank Yablans;yes
1981;Endless Love;Universal Studios, PolyGram;Dyson Lovell;
1981;Heaven's Gate;United Artists;Joann Carelli;
1981;The Legend of the Lone Ranger;Universal Studios, Associated Film Distribution;Walter Coblenz;
1981;Tarzan, the Ape Man;MGM, United Artists;John Derek;
1982;Inchon;MGM;Mitsuharu Ishii;yes
1982;Annie;Columbia Pictures;Ray Stark;
1982;Butterfly;Analysis Film Releasing;Matt Cimber;
1982;Megaforce;20th Century Fox;Albert S. Ruddy;
1982;The Pirate Movie;20th Century Fox;David Joseph;
1983;The Lonely Lady;Universal Studios;Robert R. Weston;yes
1983;Hercules;MGM, United Artists, Cannon Films;Yoram Globus;
1983;Hercules;MGM, United Artists, Cannon Films;Menahem Golan;
1983;Jaws 3-D;Universal Studios;Rupert Hitzig;
1983;Stroker Ace;Warner Bros., Universal Studios;Hank Moonjean;
1983;Two of a Kind;20th Century Fox;Roger M. Rothstein;
1983;Two of a Kind;20th Century Fox;Joe Wizan;
1984;Bolero;Cannon Films;Bo Derek;yes
1984;Cannonball Run II;Warner Bros.;Albert S. Ruddy;
1984;Rhinestone;20th Century Fox;Marvin Worth;
1984;Rhinestone;20th Century Fox;Howard Smith;
1984;Sheena;Columbia Pictures;Paul Aratow;
1984;Where the Boys Are '84;TriStar Pictures;Allan Carr;
1985;Rambo: First Blood Part II;Columbia Pictures;Buzz Feitshans;yes
1985;Fever Pitch;MGM, United Artists;Freddie Fields;
1985;Revolution;Warner Bros.;Irwin Winkler;
1985;Rocky IV;MGM, United Artists;Irwin Winkler;
1985;Rocky IV;MGM, United Artists;Robert Chartoff;
1985;Year of the Dragon;MGM, United Artists;Dino De Laurentiis;
1986;Howard the Duck;Universal Studios;Gloria Katz;yes
1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo;yes
1986;Under the Cherry Moon;Warner Bros.;Joe Ruffalo;yes
1986;Under the Cherry Moon;Warner Bros.;Steve Fargnoli;yes
1986;Blue City;Paramount Pictures;William L. Hayward;
1986;Blue City;Paramount Pictures;Walter Hill;
1986;Cobra;Warner Bros., Cannon Films;Yoram Globus;
1986;Cobra;Warner Bros., Cannon Films;Menahem Golan;
1986;Shanghai Surprise;MGM;John Kohn;
1987;Leonard Part 6;Columbia Pictures;Bill Cosby;yes
1987;Ishtar;Columbia Pictures;Warren Beatty;
1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;
1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus;
1987;Tough Guys Don't Dance;Cannon Films;Menahem Golan;
1987;Who's That Girl;Warner Bros.;Rosilyn Heller;
1987;Who's That Girl;Warner Bros.;Bernard Williams;
1988;Cocktail;Touchstone Pictures;Ted Field;yes
1988;Cocktail;Touchstone Pictures;Robert W. Cort;yes
1988;Caddyshack II;Warner Bros.;Neil Canton;
1988;Caddyshack II;Warner Bros.;Jon Peters;
1988;Caddyshack II;Warner Bros.;Peter Guber;
1988;Hot to Trot;Warner Bros.;Steve Tisch;
1988;Mac and Me;Orion Pictures;R. J. Louis;
1988;Rambo III;TriStar Pictures, Carolco Pictures;Buzz Feitshans;
1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;yes
1989;The Karate Kid Part III;Columbia Pictures;Jerry Weintraub;
1989;Lock Up;TriStar Pictures, Carolco Pictures;Charles Gordon;
1989;Lock Up;TriStar Pictures, Carolco Pictures;Lawrence Gordon;
1989;Road House;United Artists;Joel Silver;
1989;Speed Zone;Orion Pictures;Murray Shostack;
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry;yes
1990;The Adventures of Ford Fairlane;20th Century Fox;Joel Silver;yes
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes
1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;
1990;Graffiti Bridge;Warner Bros.;Randy Phillips;
1990;Graffiti Bridge;Warner Bros.;Craig Rice;
1990;Rocky V;United Artists;Robert Chartoff;
1990;Rocky V;United Artists;Irwin Winkler;
1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes
1991;Cool as Ice;Universal Studios;Carolyn Pfeiffer;
1991;Cool as Ice;Universal Studios;Lionel Wingram;
1991;Dice Rules;Seven Arts Productions;Loucas George;
1991;Nothing but Trouble;Warner Bros.;Lester Berman;
1991;Nothing but Trouble;Warner Bros.;Robert K. Weiss;
1991;Return to the Blue Lagoon;Columbia Pictures;William A. Graham;
1992;Shining Through;20th Century Fox;Carol Baum;yes
1992;Shining Through;20th Century Fox;Howard Rosenman;yes
1992;The Bodyguard;Warner Bros.;Kevin Costner;
1992;The Bodyguard;Warner Bros.;Lawrence Kasdan;
1992;The Bodyguard;Warner Bros.;Jim Wilson;
1992;Christopher Columbus: The Discovery;Warner Bros.;Alexander Salkind;
1992;Christopher Columbus: The Discovery;Warner Bros.;Ilya Salkind;
1992;Final Analysis;20th Century Fox;Paul Junger Witt;
1992;Final Analysis;20th Century Fox;Charles Roven;
1992;Final Analysis;20th Century Fox;Tony Thomas;
1992;Newsies;Walt Disney Pictures;Michael Finnell;
1993;Indecent Proposal;Paramount Pictures;Sherry Lansing;yes
1993;Body of Evidence;MGM, United Artists;Dino De Laurentiis;
1993;Cliffhanger;TriStar Pictures, Carolco Pictures;Renny Harlin;
1993;Cliffhanger;TriStar Pictures, Carolco Pictures;Alan Marshall;
1993;Last Action Hero;Columbia Pictures;John McTiernan;
1993;Last Action Hero;Columbia Pictures;Stephen J. Roth;
1993;Sliver;Paramount Pictures;Robert Evans;
1994;Color of Night;Hollywood Pictures;Buzz Feitshans;yes
1994;Color of Night;Hollywood Pictures;David Matalon;yes
1994;North;Columbia Pictures, Castle Rock Entertainment;Rob Reiner;
1994;North;Columbia Pictures, Castle Rock Entertainment;Alan Zweibel;
1994;On Deadly Ground;Warner Bros.;A. Kitman Ho;
1994;On Deadly Ground;Warner Bros.;Julius R. Nasso;
1994;On Deadly Ground;Warner Bros.;Steven Seagal;
1994;The Specialist;Warner Bros.;Jerry Weintraub;
1994;Wyatt Earp;Warner Bros.;Kevin Costner;
1994;Wyatt Earp;Warner Bros.;Lawrence Kasdan;
1994;Wyatt Earp;Warner Bros.;Jim Wilson;
1995;Showgirls;MGM, United Artists;Charles Evans;yes
1995;Showgirls;MGM, United Artists;Alan Marshall;yes
1995;Congo;Paramount Pictures;Kathleen Kennedy;
1995;Congo;Paramount Pictures;Sam Mercer;
1995;It's Pat;Touchstone Pictures;Charles B. Wessler;
1995;The Scarlet Letter;Hollywood Pictures;Roland Joffé;
1995;The Scarlet Letter;Hollywood Pictures;Andrew G. Vajna;
1995;Waterworld;Universal Studios;Kevin Costner;
1995;Waterworld;Universal Studios;John Davis;
1995;Waterworld;Universal Studios;Charles Gordon;
1995;Waterworld;Universal Studios;Lawrence Gordon;
1996;Striptease;Columbia Pictures, Castle Rock Entertainment;Andrew Bergman;yes
1996;Striptease;Columbia Pictures, Castle Rock Entertainment;Mike Lobell;yes
1996;Barb Wire;PolyGram Filmed Entertainment, Gramercy Pictures;Todd Moyer;
1996;Barb Wire;PolyGram Filmed Entertainment, Gramercy Pictures;Mike Richardson;
1996;Barb Wire;PolyGram Filmed Entertainment, Gramercy Pictures;Brad Wyman;
1996;Ed;Universal Studios;Rosalie Swedlin;
1996;The Island of Dr. Moreau;New Line Cinema;Edward R. Pressman;
1996;The Stupids;New Line Cinema, Savoy Pictures;Leslie Belzberg;
1997;The Postman;Warner Bros.;Kevin Costner;yes
1997;The Postman;Warner Bros.;Steve Tisch;yes
1997;The Postman;Warner Bros.;Jim Wilson;yes
1997;Anaconda;Columbia Pictures;Verna Harrah;
1997;Anaconda;Columbia Pictures;Carole Little;
1997;Anaconda;Columbia Pictures;Leonard Rabinowitz;
1997;Batman & Robin;Warner Bros.;Peter MacGregor-Scott;
1997;Fire Down Below;Warner Bros.;Julius R. Nasso;
1997;Fire Down Below;Warner Bros.;Steven Seagal;
1997;Speed 2: Cruise Control;20th Century Fox;Jan de Bont;
1997;Speed 2: Cruise Control;20th Century Fox;Steve Perry;
1997;Speed 2: Cruise Control;20th Century Fox;Michael Peyser;
1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Ben Myron;yes
